Designator,Mid X,Mid Y,Rotation,Layer
C2,90.0,-76.775,270.0,top
C3,112.225,-81.25,0.0,top
C4,105.5,-65.225,270.0,top
C5,108.475,-83.0,180.0,top
C6,98.75,-81.275,270.0,top
C7,111.0,-76.775,270.0,top
D1,102.35,-77.65,270.0,top
D2,92.4625,-77.75,0.0,top
D3,109.4625,-64.25,180.0,top
D4,95.86,-64.06,0.0,top
J1,100.0,-90.0,0.0,top
J2,114.0,-60.78,180.0,top
J3,86.0,-60.78,180.0,top
Q1,108.0,-78.0,180.0,top
Q2,97.0625,-78.0,180.0,top
R1,102.325,-81.0,0.0,top
R2,106.5,-89.825,270.0,top
R3,92.325,-76.0,0.0,top
R4,105.0,-77.175,270.0,top
R5,94.0,-80.075,90.0,top
R6,110.575,-79.5,0.0,top
R7,109.5,-66.0,180.0,top
SW1,110.0,-87.1,90.0,top
SW2,90.0,-87.1,90.0,top
U1,100.0,-50.0,0.0,top
U2,104.825,-71.0,180.0,top
U3,93.0,-71.0,180.0,top
